Control Number,File Name,File Extension,File Type Category,File Size (bytes),MD5 Hash,SHA256 Hash,Custodian,Custodian Email,Custodian Department,Custodian Org,Narrative Phase,Narrative Phase Name,Processing Folder Path,Virtual Path,Container ID,Container Name,Level,Primary Date,Sort Date,Language,Has Images,Has Natives,OCR Flag,Supported by Viewer,Extracted Text Preview,Images?,OCR Required?,Native Produced?,Redactable?,Analytics Eligible?,Dedup Method,Workflow Stage,Cull Reason,Processing Status,Processing Error Type,Duplicate Spare,ECA Exclusion Reason,Batch Name,Batch Status,Reviewer,Date First Assigned,Responsiveness,Privilege,Privilege Reason,Hot Doc,Issue Tags,Bates Begin,Bates End,Page Count,Production Set,Bates Prefix,Redacted,Redaction Reason,TAR Score,AL Predicted Relevant,Email From,Email From SMTP,Email To,Email To SMTP,Email CC,Email CC SMTP,Email BCC,Email BCC SMTP,Email Subject,Message ID,In Reply To,Date Sent,Date Received,Conversation Topic,Conversation Index,Has Attachments,Attachment Count,Email Thread ID,Email Threading Inclusive,Importance,Parent Document ID,Family ID,Author,Last Modified By,Date Created,Date Last Modified,Title,Company,Word Count,Slide Count,Sheet Names,PDF Author,PDF Creator,PDF Producer,PDF Page Count,Is Encrypted,Is Form,Rsmf/Application,Rsmf/Participants,Rsmf/MessageCount,Rsmf/BeginDate,Rsmf/EndDate,Rsmf/EventCollectionId,Rsmf/HasPlaceholders,Camera Make,Camera Model,Date Taken,GPS Latitude,GPS Longitude,GPS Altitude,GoogleDrive/DocID,GoogleDrive/DocumentType,GoogleDrive/SharedDriveID,Record Type
DOC-0000995,DOC-0000995.doc,doc,Office - Word (DOC),465697,d57a1134c82f68dbdbc69dfca6a148c3,bd8927fb040cf50a9d3651cfb54a9d9325b2e968e2ac12f28c2ce5e662267f0b,Michael Brennan,michael.brennan@mallinckrodt.com,Sales,Mallinckrodt,3,Crisis,\\Collection\Michael_Brennan\2016\04,Mallinckrodt\Michael_Brennan\Office - Word (DOC)\DOC-0000995.doc,,,1,2014-09-04 00:00:00,2014-09-04 00:00:00,English,No,Yes,No,Yes,[Office - Word (DOC)] Ohio AG Subpoena Response — Draft v8 — Michael Brennan 2016-04-26,Yes,No,Yes,Image Only,Yes,SHA256,Pre-Review: Duplicate/NIST,Below De Minimis,Complete,,Yes,,,,,,,,,No,,,,22,,MNK,No,,,,,,,,,,,,,,,,,,,No,0,,,,DOC-0000415,FAM-000313,Michael Brennan,Michael Brennan,2016-04-26,2016-05-07,Ohio AG Subpoena Response — Draft v8,Mallinckrodt Inc.,6032,,,,,,,No,,,,0,,,,No,,,,,,,,,,Attachment
DOC-0000111,FW: DEA Administrative Subpoena — Produc.msg,msg,Email - MSG,218645,f2c847439027e7702460d0d2904883c1,8ac8ad937e02921df86b543ae1b243cccf767343fcedf994d631c383303014d0,James Whitfield,james.whitfield@mallinckrodt.com,Executive,Mallinckrodt,3,Crisis,\\Collection\James_Whitfield\2015\02,Mallinckrodt\James_Whitfield\Email - MSG\DOC-0000111.msg,,,1,2015-02-27 00:00:00,2015-02-27 00:00:00,English,Yes,Yes,No,Yes,[Email - MSG] FW: DEA Administrative Subpoena — Production Deadline April 2014 — James Whitfield 2015-02-27,Yes,No,Yes,Image Only,Yes,MD5,Pre-Review: Duplicate/NIST,Near Duplicate,Complete,,Yes,,,,,,,,,No,,,,3,,MNK,No,,,,James Whitfield,james.whitfield@mallinckrodt.com,FDA CDER,cder@fda.hhs.gov,,,,,FW: DEA Administrative Subpoena — Production Deadline April 2014,<2cf149cb4f1e1a37.7d8d3ddd@mallinckrodt.com>,,2015-02-27 00:00:00,2015-02-27 00:23:00,FW: DEA Administrative Subpoena — Production Deadline April 2014,3b8d34470e61065f171b1b8009b7fdf7,No,0,THR-000062,No,Low,,FAM-000238,,,2015-02-27,,,Mallinckrodt Inc.,,,,,,,,No,,,,0,,,,No,,,,,,,,,,Email
DOC-0000722,RE: Congressional Inquiry — Opioid Distr.eml,eml,Email - EML,139839,1ca48caf59c13fccf5fe9cc4c1204784,89a29dad54227d6dc454d1a5d4d8c52ed4c6c7db3cb48481b4f82d12db0dc10e,Gregory Nash,gregory.nash@mallinckrodt.com,Legal & Compliance,Mallinckrodt,3,Crisis,\\Collection\Gregory_Nash\2015\02,Mallinckrodt\Gregory_Nash\Email - EML\DOC-0000722.eml,DOC-0000803,DOC-0000803.pst,1,2015-02-15 00:00:00,2015-02-15 00:00:00,English,Yes,Yes,No,Yes,[Email - EML] RE: Congressional Inquiry — Opioid Distribution Practices — Gregory Nash 2015-02-15,Yes,No,Yes,Image Only,Yes,MD5,Pre-Review: Duplicate/NIST,Exact Duplicate,Complete,,Yes,,,,,,,,,No,,,,3,,MNK,No,,,,Gregory Nash,gregory.nash@mallinckrodt.com,Ohio AG Office,inquiry@ag.state.us,,,,,RE: histleblower Concerns — Speaker Bureau — Escalation,<e48bb336bfa55677.74240302@mallinckrodt.com>,<77746c098669ba60.f64c81bf@mallinckrodt.com>,2015-02-15 00:00:00,2015-02-15 00:15:00,RE: Congressional Inquiry — Opioid Distribution Practices,1f8fa9dd7daf8db1d88a2b6722c2ca83,No,0,THR-000038,Yes,High,DOC-0000519,FAM-000214,,,2015-02-15,,,Mallinckrodt Inc.,,,,,,,,No,,,,0,,,,No,,,,,,,,,,Email
DOC-0001354,DOC-0001354.csv,csv,Text / Markup,216604,38bef4c42cefc8bb0b117f72db1bda74,56fa06705b15e527f7d046d069f03ffee7820d381621734266d637743384e0ed,Sarah Chen,sarah.chen@mallinckrodt.com,Sales,Mallinckrodt,2,Pressure,\\Collection\Sarah_Chen\2014\02,Mallinckrodt\Sarah_Chen\Text / Markup\DOC-0001354.csv,,,1,2014-09-20 00:00:00,2014-09-20 00:00:00,English,No,Yes,No,Yes,[Text / Markup]  — Sarah Chen 2014-02-28,Yes,No,Yes,Image Only,Yes,SHA256,Pre-Review: Duplicate/NIST,NIST System File,Complete,,Yes,,,,,,,,,No,,,,4,,MNK,No,,,,,,,,,,,,,,,,,,,No,0,,,,DOC-0000160,FAM-000291,,,2014-02-28,,,Mallinckrodt Inc.,,,,,,,,No,,,,0,,,,No,,,,,,,,,,Attachment
DOC-0001064,DOC-0001064.xlsx,xlsx,Office - Excel (XLSX),3887886,9a859d272a2fbccd7ed3046284d61ba3,e76cc750566a3ae31c3dc6fd79ff5f765ca5af97605b35b8ddf4576bf977ee47,Lisa Torres,lisa.torres@mallinckrodt.com,Administration,Mallinckrodt,3,Crisis,\\Collection\Lisa_Torres\2015\08,Mallinckrodt\Lisa_Torres\Office - Excel (XLSX)\DOC-0001064.xlsx,,,1,2015-08-30 00:00:00,2015-08-30 00:00:00,English,No,Yes,No,Yes,[Office - Excel (XLSX)] Document Production Index — May 2014 — Lisa Torres 2015-08-30,Yes,No,Yes,Image Only,Yes,SHA256,Pre-Review: Duplicate/NIST,Below De Minimis,Complete,,Yes,,,,,,,,,No,,,,4,,MNK,No,,,,,,,,,,,,,,,,,,,No,0,,,,,,Lisa Torres,Lisa Torres,2015-08-30,2015-09-11,Document Production Index — May 2014,Mallinckrodt Inc.,,,Sheet1; Sheet2,,,,,No,,,,0,,,,No,,,,,,,,,,EDoc
DOC-0000894,DOC-0000894.docx,docx,Office - Word (DOCX),338357,a3e0b8c8292589659d20b9fe9dafe563,c61c79b475b78c754d219a3c44f455a34bb6fdab65d43bbad9502b0d9ce505e9,Michael Brennan,michael.brennan@mallinckrodt.com,Sales,Mallinckrodt,2,Pressure,\\Collection\Michael_Brennan\2014\11,Mallinckrodt\Michael_Brennan\Office - Word (DOCX)\DOC-0000894.docx,,,1,2013-09-23 00:00:00,2013-09-23 00:00:00,English,No,Yes,No,Yes,[Office - Word (DOCX)] FY2013 — Sales Incentive Compensation Plan — Oxycodone Territory Quotas — Michael Brennan 2014-11-11,Yes,No,Yes,Image Only,Yes,SHA256,Pre-Review: Duplicate/NIST,Exact Duplicate,Complete,,Yes,,,,,,,,,No,,,,13,,MNK,No,,,,,,,,,,,,,,,,,,,No,0,,,,DOC-0000745,FAM-000244,Michael Brennan,Michael Brennan,2014-11-11,2014-12-07,FY2013 — Sales Incentive Compensation Plan — Oxycodone Territory Quotas,Mallinckrodt Inc.,4286,,,,,,,No,,,,0,,,,No,,,,,,,,,,Attachment
DOC-0001242,DOC-0001242.pdf,pdf,PDF - Text,2369977,4d8daabee4d887f0cc8146bc8ad5810c,c0ef4f70ec1ffcbd8756996397ea0bf7172fa76c714a792c730940c6bd7a79e2,Robert Ashton,robert.ashton@mallinckrodt.com,Sales,Mallinckrodt,2,Pressure,\\Collection\Robert_Ashton\2013\12,Mallinckrodt\Robert_Ashton\PDF - Text\DOC-0001242.pdf,,,1,2013-12-01 00:00:00,2013-12-01 00:00:00,English,Yes,Yes,No,Yes,[PDF - Text]  — Robert Ashton 2013-12-20,Yes,No,Yes,Image Only,Yes,SHA256,Pre-Review: Duplicate/NIST,Near Duplicate,Complete,,Yes,,,,,,,,,No,,,,15,,MNK,No,,,,,,,,,,,,,,,,,,,No,0,,,,DOC-0000785,FAM-000267,,,2013-12-20,,,Mallinckrodt Inc.,,,,Robert Ashton,Nuance PDF,Adobe PDF Library,15,No,No,,,0,,,,No,,,,,,,,,,Attachment
DOC-0001030,DOC-0001030.xlsx,xlsx,Office - Excel (XLSX),4824815,27f5e4d5b42176c0e763b8fe65dab531,3c817b14c7d4f9bacf77d5c0940b86685d7b783fcc520538bfcf939e1c1e9a5a,Thomas Bradley,thomas.bradley@mallinckrodt.com,Legal & Compliance,Mallinckrodt,2,Pressure,\\Collection\Thomas_Bradley\2014\01,Mallinckrodt\Thomas_Bradley\Office - Excel (XLSX)\DOC-0001030.xlsx,,,1,2015-09-14 09:00:00,2015-09-14 09:00:00,English,No,Yes,No,Yes,[Office - Excel (XLSX)] IRC Prior Authorization Call Guide v3 — Thomas Bradley 2014-01-28,Yes,No,Yes,Image Only,Yes,SHA256,Pre-Review: Duplicate/NIST,Below De Minimis,Complete,,Yes,,,,,,,,,No,,,,1,,MNK,No,,,,,,,,,,,,,,,,,,,No,0,,,,HOT-0000007,SFAM-0004,Thomas Bradley,Thomas Bradley,2014-01-28,2014-02-18,IRC Prior Authorization Call Guide v3,Mallinckrodt Inc.,,,Sheet1; Sheet2,,,,,No,,,,0,,,,No,,,,,,,,,,Attachment
DOC-0000359,FW: SOM Archive Cleanup — October 2013.msg,msg,Email - MSG,249241,8efadaa15a5ed7eb15320177b61d170a,34b549bedb19de67bc3a8abba5aa9765a8d3bb7d3e0c5ec5df748fb5d5e6162f,Michael Brennan,michael.brennan@mallinckrodt.com,Sales,Mallinckrodt,3,Crisis,\\Collection\Michael_Brennan\2016\08,Mallinckrodt\Michael_Brennan\Email - MSG\DOC-0000359.msg,,,1,2016-08-21 00:00:00,2016-08-21 00:00:00,English,Yes,Yes,No,Yes,[Email - MSG] FW: SOM Archive Cleanup — October 2013 — Michael Brennan 2016-08-21,Yes,No,Yes,Image Only,Yes,MD5,Pre-Review: Duplicate/NIST,Below De Minimis,Complete,,Yes,,,,,,,,,No,,,,3,,MNK,No,,,,Michael Brennan,michael.brennan@mallinckrodt.com,Sarah Chen,sarah.chen@mallinckrodt.com,,,,,FW: SOM Archive Cleanup — October 2013,<13f8e789b1e93b1a.133ca9cf@mallinckrodt.com>,,2016-08-21 00:00:00,2016-08-21 00:08:00,FW: SOM Archive Cleanup — October 2013,3664cafa0f6da7517e9e7b8af8c59ac6,No,0,THR-000034,No,Normal,,FAM-000210,,,2016-08-21,,,Mallinckrodt Inc.,,,,,,,,No,,,,0,,,,No,,,,,,,,,,Email
DOC-0001146,DOC-0001146.pptx,pptx,Office - PowerPoint (PPTX),6177807,73f8933a611a452898dbb72c71507ff6,ab70dcda154f0d60698b6f944b2e0335e9799c8ea5eaf9f626d3995eb30b1649,Sarah Chen,sarah.chen@mallinckrodt.com,Sales,Mallinckrodt,2,Pressure,\\Collection\Sarah_Chen\2014\04,Mallinckrodt\Sarah_Chen\Office - PowerPoint (PPTX)\DOC-0001146.pptx,,,1,2014-04-24 00:00:00,2014-04-24 00:00:00,English,Yes,Yes,No,Yes,[Office - PowerPoint (PPTX)] SOM Flag Exception Documentation — McKesson — January 2016 — Sarah Chen 2014-04-24,Yes,No,Yes,Image Only,Yes,SHA256,Pre-Review: Duplicate/NIST,Below De Minimis,Complete,,Yes,,,,,,,,,No,,,,24,,MNK,No,,,,,,,,,,,,,,,,,,,No,0,,,,,,Sarah Chen,Sarah Chen,2014-04-24,2014-04-25,SOM Flag Exception Documentation — McKesson — January 2016,Mallinckrodt Inc.,,25,,,,,,No,,,,0,,,,No,,,,,,,,,,EDoc
DOC-0000764,RE: Crisis Communications Plan — Opioid .eml,eml,Email - EML,72441,5b867d343ea340522af32711f51875ec,ce2c1dada6e7e684e7e6fa6d5fce2980cf41205c276a33350a6dbd8b11365b34,Michael Brennan,michael.brennan@mallinckrodt.com,Sales,Mallinckrodt,3,Crisis,\\Collection\Michael_Brennan\2016\01,Mallinckrodt\Michael_Brennan\Email - EML\DOC-0000764.eml,,,1,2016-01-16 00:00:00,2016-01-16 00:00:00,English,Yes,Yes,No,Yes,[Email - EML] RE: Crisis Communications Plan — Opioid Media Inquiries — Michael Brennan 2016-01-16,Yes,No,Yes,Image Only,Yes,MD5,Pre-Review: Duplicate/NIST,NIST System File,Complete,,Yes,,,,,,,,,No,,,,2,,MNK,No,,,,Michael Brennan,michael.brennan@mallinckrodt.com,Gregory Nash,gregory.nash@mallinckrodt.com,,,,,RE: Internal Investigation Update — SOM Override Findings,<5813d26f54d5a185.da7f6f61@mallinckrodt.com>,<cba95e233e39bf9b.7b8b1581@mallinckrodt.com>,2016-01-16 00:00:00,2016-01-16 00:07:00,RE: Crisis Communications Plan — Opioid Media Inquiries,9e41d0e71d0fc8c20f337fe5f93268ef,Yes,2,THR-000020,Yes,Normal,DOC-0000428,FAM-000196,,,2016-01-16,,,Mallinckrodt Inc.,,,,,,,,No,,,,0,,,,No,,,,,,,,,,Email
